"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F","date","month","player_id","name","teamName","age","positionText","apps","subOn","minsPlayed","manOfTheMatch","yellowCard","redCard","rating","goal","assistTotal","shotsPerGame","keyPassPerGame","dribbleWonPerGame","foulGivenPerGame","offsideGivenPerGame","dispossessedPerGame","totalPassesPerGame","passSuccess","tacklePerGame","interceptionPerGame","foulsPerGame","clearancePerGame","outfielderBlockPerGame","goalOwn"
"01-Jul","Sénégal","Alfred Gomis","in","Torino","Italy","SPAL","Italy",1.5,59,58,2018,1,7,97213,"Alfred Gomis","SPAL 2013",26,"Goalkeeper",20,1,1722,1,0,0,6.4975,0,0,0,0,0,0.15,0,0,28.05,67.7361853832442,0,0.05,0.05,0.9,0,0
"01-Jul","Slovénie","Jasmin Kurtic","in","Atalanta","Italy","SPAL","Italy",4.8,43,58,2018,1,7,90287,"Jasmin Kurtic","SPAL 2013",30,"Midfielder",30,1,2561,1,9,0,7.01833333333333,6,5,2.13333333333333,1.2,0.8,1.83333333333333,0,0.7,40.7,86.0769860769861,1.16666666666667,0.666666666666667,1.2,1.66666666666667,0.1,0
"19-Jul","Italie","Andrea Petagna","in","Atalanta","Italy","SPAL","Italy",12,43,58,2018,19,7,122296,"Andrea Petagna","SPAL 2013",24,"Forward",36,1,3043,1,8,0,6.81083333333333,16,1,2.47222222222222,0.777777777777778,0.833333333333333,1.27777777777778,0.166666666666667,2.38888888888889,20.1666666666667,79.6143250688705,0.416666666666667,0.111111111111111,1.22222222222222,0.416666666666667,0.222222222222222,0
"13-Aug","Italie","S.  Missiroli","in","Sassuolo","Italy","SPAL","Italy",2.5,57,58,2018,13,8,13348,"Simone Missiroli","SPAL 2013",33,"Midfielder",34,1,2750,1,9,0,6.78117647058824,0,0,0.441176470588235,0.794117647058823,0.588235294117647,1.61764705882353,0,0.735294117647059,44.0294117647059,82.8991315965264,1.70588235294118,1.35294117647059,0.882352941176471,1.26470588235294,0.323529411764706,0
"16-Aug","Italie","M.  Valdifiori","in","Torino","Italy","SPAL","Italy",1,59,58,2018,16,8,128746,"Mirko Valdifiori","SPAL 2013",33,"Midfielder",15,7,667,0,3,0,6.50066666666667,0,1,0.466666666666667,1.46666666666667,0.133333333333333,0.533333333333333,0,0.2,33.7333333333333,85.9683794466403,1.33333333333333,0.333333333333333,0.933333333333333,0.466666666666667,0.133333333333333,0
"04-Jul","Italie","Armando Izzo","in","Genoa","Italy","Torino","Italy",8,50,59,2018,4,7,141307,"Armando Izzo","Torino",27,"Defender",37,0,3274,6,6,0,7.23972972972973,4,1,0.675675675675676,0.297297297297297,0.243243243243243,1.64864864864865,0.0540540540540541,0.297297297297297,49.5135135135135,77.8384279475982,2.05405405405405,2.35135135135135,1.51351351351351,3.83783783783784,0.648648648648649,0
"10-Jul","France","S.  Meïté","in","Monaco","France","Torino","Italy",10,70,59,2018,10,7,105161,"Soualiho Meité","Torino",25,"Midfielder",35,5,2663,1,7,1,6.88057142857143,2,4,0.857142857142857,0.942857142857143,1.48571428571429,1.48571428571429,0.0285714285714286,1.34285714285714,32.8,82.2299651567944,1.31428571428571,0.828571428571429,1.74285714285714,0.6,0.171428571428571,0
"17-Aug","Italie","Simone Zaza","in","Valencia CF","Spain","Torino","Italy",12,30,59,2018,17,8,71647,"Simone Zaza","Torino",28,"Forward",29,18,1424,0,8,1,6.48344827586207,4,3,1.93103448275862,0.517241379310345,0.0689655172413793,0.931034482758621,0.517241379310345,0.96551724137931,9.44827586206897,67.1532846715328,0.689655172413793,0.137931034482759,1.58620689655172,0.310344827586207,0.0344827586206897,0
"26-Jul","Italie","R.  Mandragora","in","Juventus","Italy","Udinese","Italy",20,52,60,2018,26,7,241020,"Rolando Mandragora","Udinese",22,"Midfielder",35,2,2921,0,8,1,6.72571428571429,3,2,1.31428571428571,0.828571428571429,0.114285714285714,1.14285714285714,0.0285714285714286,0.4,32.3428571428571,84.3639575971731,1.91428571428571,1.2,1.31428571428571,1.54285714285714,0.257142857142857,0
"13-Jul","RD Congo","H.  Manzala","in","Amiens","France","Angers","France",1,61,62,2018,13,7,232576,"Harrison Manzala","Angers",25,"Midfielder",8,8,66,0,0,0,5.97625,0,0,0.25,0,0,0.375,0.125,0.125,3,58.3333333333333,0.25,0,0.125,0.125,0,0
"04-Jul","Tchad","Casimir Ninga","in","Montpellier","France","Caen","France",2,71,64,2018,4,7,298542,"Casimir Ninga","Caen",26,"Forward",33,5,2476,1,9,0,6.58030303030303,6,3,1.60606060606061,0.757575757575758,1.57575757575758,1.06060606060606,0.484848484848485,2.60606060606061,14.2424242424242,76.3829787234043,1.60606060606061,0.666666666666667,1.93939393939394,0.272727272727273,0.0303030303030303,0
"24-Jul","Maroc","Yacine Bammou","in","Nantes","France","Caen","France",2,72,64,2018,24,7,231145,"Yacine Bammou","Caen",28,"Forward",17,8,919,0,2,0,6.40117647058823,2,0,1,0.352941176470588,0.176470588235294,0.529411764705882,0.176470588235294,1,17.5882352941176,76.2541806020067,0.823529411764706,0.529411764705882,0.529411764705882,0.882352941176471,0.176470588235294,0
